id,login,name,salary
e0106,basilisk15,Basilisk,10392.71
e0107,basilisk16,Basilisk,10392.71
e0108,basilisk17,Basilisk,10392.71
e0109,basilisk18,Basilisk,10392.71
e0110,basilisk19,Basilisk,10392.71
e0111,basilisk20,Basilisk,10392.71
e0112,basilisk21,Basilisk,10392.71
e0113,basilisk22,Basilisk,10392.71
e0114,basilisk23,Basilisk,10392.71
e0115,basilisk24,Basilisk,10392.71
e0116,basilisk25,Basilisk,10392.71
e0117,basilisk26,Basilisk,10392.71
e0118,basilisk27,Basilisk,10392.71
e0119,basilisk28,Basilisk,10392.71
e0120,basilisk29,Basilisk,10392.71
e0121,basilisk30,Basilisk,10392.71
e0122,basilisk31,Basilisk,10392.71
e0123,basilisk32,Basilisk,10392.71
e0124,basilisk33,Basilisk,10392.71
e0125,basilisk34,Basilisk,10392.71
e0126,basilisk35,Basilisk,10392.71
e0127,basilisk36,Basilisk,10392.71
e0128,basilisk37,Basilisk,10392.71
e0129,basilisk38,Basilisk,10392.71
e0130,basilisk39,Basilisk,10392.71
e0131,basilisk40,Basilisk,10392.71
e0132,basilisk41,Basilisk,10392.71
e0133,basilisk42,Basilisk,10392.71
e0134,basilisk43,Basilisk,10392.71
e0135,basilisk44,Basilisk,10392.71
e0136,basilisk45,Basilisk,10392.71
e0137,basilisk46,Basilisk,10392.71
e0138,basilisk47,Basilisk,10392.71
e0139,basilisk48,Basilisk,10392.71
e0140,basilisk49,Basilisk,10392.71
e0141,basilisk50,Basilisk,10392.71
e0142,basilisk51,Basilisk,10392.71
e0143,basilisk52,Basilisk,10392.71
e0144,basilisk53,Basilisk,10392.71
e0145,basilisk54,Basilisk,10392.71
e0146,basilisk55,Basilisk,10392.71
e0147,basilisk56,Basilisk,10392.71
e0148,basilisk57,Basilisk,10392.71
e0149,basilisk58,Basilisk,10392.71
e0150,basilisk59,Basilisk,10392.71
e0151,basilisk60,Basilisk,10392.71
e0152,basilisk61,Basilisk,10392.71
e0153,basilisk62,Basilisk,10392.71
e0154,basilisk63,Basilisk,10392.71
e0155,basilisk64,Basilisk,10392.71
e0156,basilisk65,Basilisk,10392.71
e0157,basilisk66,Basilisk,10392.71
e0158,basilisk67,Basilisk,10392.71
e0159,basilisk68,Basilisk,10392.71
e0160,basilisk69,Basilisk,10392.71
e0161,basilisk70,Basilisk,10392.71
e0162,basilisk71,Basilisk,10392.71
e0163,basilisk72,Basilisk,10392.71
e0164,basilisk73,Basilisk,10392.71
e0165,basilisk74,Basilisk,10392.71
e0166,basilisk75,Basilisk,10392.71
e0167,basilisk76,Basilisk,10392.71
e0168,basilisk77,Basilisk,10392.71
e0169,basilisk78,Basilisk,10392.71
e0170,basilisk79,Basilisk,10392.71
e0171,basilisk80,Basilisk,10392.71
e0172,basilisk81,Basilisk,10392.71
e0173,basilisk82,Basilisk,10392.71
e0174,basilisk83,Basilisk,10392.71
e0175,basilisk84,Basilisk,10392.71
e0176,basilisk85,Basilisk,10392.71
e0177,basilisk86,Basilisk,10392.71
e0178,basilisk87,Basilisk,10392.71
e0179,basilisk88,Basilisk,10392.71
e0180,basilisk89,Basilisk,10392.71
e0181,basilisk90,Basilisk,10392.71
e0182,basilisk91,Basilisk,10392.71
e0183,basilisk92,Basilisk,10392.71
e0184,basilisk93,Basilisk,10392.71
e0185,basilisk94,Basilisk,10392.71
e0186,basilisk95,Basilisk,10392.71
e0187,basilisk96,Basilisk,10392.71
e0188,basilisk97,Basilisk,10392.71
e0189,basilisk98,Basilisk,10392.71
e0190,basilisk99,Basilisk,10392.71
e0191,basilisk100,Basilisk,10392.71
e0192,basilisk101,Basilisk,10392.71
e0193,basilisk102,Basilisk,10392.71
e0194,basilisk103,Basilisk,10392.71
e0195,basilisk104,Basilisk,10392.71
e0196,basilisk105,Basilisk,10392.71
e0197,basilisk106,Basilisk,10392.71
e0198,basilisk107,Basilisk,10392.71
e0199,basilisk108,Basilisk,10392.71
e0200,basilisk109,Basilisk,10392.71
e0201,basilisk110,Basilisk,10392.71
e0202,basilisk111,Basilisk,10392.71
e0203,basilisk112,Basilisk,10392.71
e0204,basilisk113,Basilisk,10392.71
e0205,basilisk114,Basilisk,10392.71
e0206,basilisk115,Basilisk,10392.71
e0207,basilisk116,Basilisk,10392.71
e0208,basilisk117,Basilisk,10392.71
e0209,basilisk118,Basilisk,10392.71
e0210,basilisk119,Basilisk,10392.71
e0211,basilisk120,Basilisk,10392.71
e0212,basilisk121,Basilisk,10392.71
e0213,basilisk122,Basilisk,10392.71
e0214,basilisk123,Basilisk,10392.71
e0215,basilisk124,Basilisk,10392.71
e0216,basilisk125,Basilisk,10392.71
e0217,basilisk126,Basilisk,10392.71
e0218,basilisk127,Basilisk,10392.71
e0219,basilisk128,Basilisk,10392.71
e0220,basilisk129,Basilisk,10392.71
e0221,basilisk130,Basilisk,10392.71
e0222,basilisk131,Basilisk,10392.71
e0223,basilisk132,Basilisk,10392.71
e0224,basilisk133,Basilisk,10392.71
e0225,basilisk134,Basilisk,10392.71
e0226,basilisk135,Basilisk,10392.71
e0227,basilisk136,Basilisk,10392.71
e0228,basilisk137,Basilisk,10392.71
e0229,basilisk138,Basilisk,10392.71
e0230,basilisk139,Basilisk,10392.71
e0231,basilisk140,Basilisk,10392.71
e0232,basilisk141,Basilisk,10392.71
e0233,basilisk142,Basilisk,10392.71
e0234,basilisk143,Basilisk,10392.71
e0235,basilisk144,Basilisk,10392.71
e0236,basilisk145,Basilisk,10392.71
e0237,basilisk146,Basilisk,10392.71
e0238,basilisk147,Basilisk,10392.71
e0239,basilisk148,Basilisk,10392.71
e0240,basilisk149,Basilisk,10392.71
e0241,basilisk150,Basilisk,10392.71
e0242,basilisk151,Basilisk,10392.71
e0243,basilisk152,Basilisk,10392.71
e0244,basilisk153,Basilisk,10392.71
e0245,basilisk154,Basilisk,10392.71
e0246,basilisk155,Basilisk,10392.71
e0247,basilisk156,Basilisk,10392.71
e0248,basilisk157,Basilisk,10392.71
e0249,basilisk158,Basilisk,10392.71
e0250,basilisk159,Basilisk,10392.71
e0251,basilisk160,Basilisk,10392.71
e0252,basilisk161,Basilisk,10392.71
e0253,basilisk162,Basilisk,10392.71
e0254,basilisk163,Basilisk,10392.71
e0255,basilisk164,Basilisk,10392.71
e0256,basilisk165,Basilisk,10392.71
e0257,basilisk166,Basilisk,10392.71
e0258,basilisk167,Basilisk,10392.71
e0259,basilisk168,Basilisk,10392.71
e0260,basilisk169,Basilisk,10392.71
e0261,basilisk170,Basilisk,10392.71
e0262,basilisk171,Basilisk,10392.71
e0263,basilisk172,Basilisk,10392.71
e0264,basilisk173,Basilisk,10392.71
e0265,basilisk174,Basilisk,10392.71
e0266,basilisk175,Basilisk,10392.71
e0267,basilisk176,Basilisk,10392.71
e0268,basilisk177,Basilisk,10392.71
e0269,basilisk178,Basilisk,10392.71
e0270,basilisk179,Basilisk,10392.71
e0271,basilisk180,Basilisk,10392.71
e0272,basilisk181,Basilisk,10392.71
e0273,basilisk182,Basilisk,10392.71
e0274,basilisk183,Basilisk,10392.71
e0275,basilisk184,Basilisk,10392.71
e0276,basilisk185,Basilisk,10392.71
e0277,basilisk186,Basilisk,10392.71
e0278,basilisk187,Basilisk,10392.71
e0279,basilisk188,Basilisk,10392.71
e0280,basilisk189,Basilisk,10392.71
e0281,basilisk190,Basilisk,10392.71
e0282,basilisk191,Basilisk,10392.71
e0283,basilisk192,Basilisk,10392.71
e0284,basilisk193,Basilisk,10392.71
e0285,basilisk194,Basilisk,10392.71
e0286,basilisk195,Basilisk,10392.71
e0287,basilisk196,Basilisk,10392.71
e0288,basilisk197,Basilisk,10392.71
e0289,basilisk198,Basilisk,10392.71
e0290,basilisk199,Basilisk,10392.71
e0291,basilisk200,Basilisk,10392.71
e0292,basilisk201,Basilisk,10392.71
e0293,basilisk202,Basilisk,10392.71
e0294,basilisk203,Basilisk,10392.71
e0295,basilisk204,Basilisk,10392.71
e0296,basilisk205,Basilisk,10392.71
e0297,basilisk206,Basilisk,10392.71
e0298,basilisk207,Basilisk,10392.71
e0299,basilisk208,Basilisk,10392.71
e0300,basilisk209,Basilisk,10392.71
e0301,basilisk210,Basilisk,10392.71
e0302,basilisk211,Basilisk,10392.71
e0303,basilisk212,Basilisk,10392.71
e0304,basilisk213,Basilisk,10392.71
e0305,basilisk214,Basilisk,10392.71
e0306,basilisk215,Basilisk,10392.71
e0307,basilisk216,Basilisk,10392.71
e0308,basilisk217,Basilisk,10392.71
e0309,basilisk218,Basilisk,10392.71
e0310,basilisk219,Basilisk,10392.71
e0311,basilisk220,Basilisk,10392.71
e0312,basilisk221,Basilisk,10392.71
e0313,basilisk222,Basilisk,10392.71
e0314,basilisk223,Basilisk,10392.71
e0315,basilisk224,Basilisk,10392.71
e0316,basilisk225,Basilisk,10392.71
e0317,basilisk226,Basilisk,10392.71
e0318,basilisk227,Basilisk,10392.71
e0319,basilisk228,Basilisk,10392.71
e0320,basilisk229,Basilisk,10392.71
e0321,basilisk230,Basilisk,10392.71
e0322,basilisk231,Basilisk,10392.71
e0323,basilisk232,Basilisk,10392.71
e0324,basilisk233,Basilisk,10392.71
e0325,basilisk234,Basilisk,10392.71
e0326,basilisk235,Basilisk,10392.71
e0327,basilisk236,Basilisk,10392.71
e0328,basilisk237,Basilisk,10392.71
e0329,basilisk238,Basilisk,10392.71
e0330,basilisk239,Basilisk,10392.71
e0331,basilisk240,Basilisk,10392.71
e0332,basilisk241,Basilisk,10392.71
e0333,basilisk242,Basilisk,10392.71
e0334,basilisk243,Basilisk,10392.71
e0335,basilisk244,Basilisk,10392.71
e0336,basilisk245,Basilisk,10392.71
e0337,basilisk246,Basilisk,10392.71
e0338,basilisk247,Basilisk,10392.71
e0339,basilisk248,Basilisk,10392.71
e0340,basilisk249,Basilisk,10392.71
e0341,basilisk250,Basilisk,10392.71
e0342,basilisk251,Basilisk,10392.71
e0343,basilisk252,Basilisk,10392.71
e0344,basilisk253,Basilisk,10392.71
e0345,basilisk254,Basilisk,10392.71
e0346,basilisk255,Basilisk,10392.71
e0347,basilisk256,Basilisk,10392.71
e0348,basilisk257,Basilisk,10392.71
e0349,basilisk258,Basilisk,10392.71
e0350,basilisk259,Basilisk,10392.71
e0351,basilisk260,Basilisk,10392.71
e0352,basilisk261,Basilisk,10392.71
e0353,basilisk262,Basilisk,10392.71
e0354,basilisk263,Basilisk,10392.71
e0355,basilisk264,Basilisk,10392.71
e0356,basilisk265,Basilisk,10392.71
e0357,basilisk266,Basilisk,10392.71
e0358,basilisk267,Basilisk,10392.71
e0359,basilisk268,Basilisk,10392.71
e0360,basilisk269,Basilisk,10392.71
e0361,basilisk270,Basilisk,10392.71
e0362,basilisk271,Basilisk,10392.71
e0363,basilisk272,Basilisk,10392.71
e0364,basilisk273,Basilisk,10392.71
e0365,basilisk274,Basilisk,10392.71
e0366,basilisk275,Basilisk,10392.71
e0367,basilisk276,Basilisk,10392.71
e0368,basilisk277,Basilisk,10392.71
e0369,basilisk278,Basilisk,10392.71
e0370,basilisk279,Basilisk,10392.71
e0371,basilisk280,Basilisk,10392.71
e0372,basilisk281,Basilisk,10392.71
e0373,basilisk282,Basilisk,10392.71
e0374,basilisk283,Basilisk,10392.71
e0375,basilisk284,Basilisk,10392.71
e0376,basilisk285,Basilisk,10392.71
e0377,basilisk286,Basilisk,10392.71
e0378,basilisk287,Basilisk,10392.71
e0379,basilisk288,Basilisk,10392.71
e0380,basilisk289,Basilisk,10392.71
e0381,basilisk290,Basilisk,10392.71
e0382,basilisk291,Basilisk,10392.71
e0383,basilisk292,Basilisk,10392.71
e0384,basilisk293,Basilisk,10392.71
e0385,basilisk294,Basilisk,10392.71
e0386,basilisk295,Basilisk,10392.71
e0387,basilisk296,Basilisk,10392.71
e0388,basilisk297,Basilisk,10392.71
e0389,basilisk298,Basilisk,10392.71
e0390,basilisk299,Basilisk,10392.71
e0391,basilisk300,Basilisk,10392.71
e0392,basilisk301,Basilisk,10392.71
e0393,basilisk302,Basilisk,10392.71
e0394,basilisk303,Basilisk,10392.71
e0395,basilisk304,Basilisk,10392.71
e0396,basilisk305,Basilisk,10392.71
e0397,basilisk306,Basilisk,10392.71
e0398,basilisk307,Basilisk,10392.71
e0399,basilisk308,Basilisk,10392.71
e0400,basilisk309,Basilisk,10392.71
e0401,basilisk310,Basilisk,10392.71
e0402,basilisk311,Basilisk,10392.71
e0403,basilisk312,Basilisk,10392.71
e0404,basilisk313,Basilisk,10392.71
e0405,basilisk314,Basilisk,10392.71
e0406,basilisk315,Basilisk,10392.71
e0407,basilisk316,Basilisk,10392.71
e0408,basilisk317,Basilisk,10392.71
e0409,basilisk318,Basilisk,10392.71
e0410,basilisk319,Basilisk,10392.71
e0411,basilisk320,Basilisk,10392.71
e0412,basilisk321,Basilisk,10392.71
e0413,basilisk322,Basilisk,10392.71
e0414,basilisk323,Basilisk,10392.71
e0415,basilisk324,Basilisk,10392.71
e0416,basilisk325,Basilisk,10392.71
e0417,basilisk326,Basilisk,10392.71
e0418,basilisk327,Basilisk,10392.71
e0419,basilisk328,Basilisk,10392.71
e0420,basilisk329,Basilisk,10392.71
e0421,basilisk330,Basilisk,10392.71
e0422,basilisk331,Basilisk,10392.71
e0423,basilisk332,Basilisk,10392.71
e0424,basilisk333,Basilisk,10392.71
e0425,basilisk334,Basilisk,10392.71
e0426,basilisk335,Basilisk,10392.71
e0427,basilisk336,Basilisk,10392.71
e0428,basilisk337,Basilisk,10392.71
e0429,basilisk338,Basilisk,10392.71
e0430,basilisk339,Basilisk,10392.71
e0431,basilisk340,Basilisk,10392.71
e0432,basilisk341,Basilisk,10392.71
e0433,basilisk342,Basilisk,10392.71
e0434,basilisk343,Basilisk,10392.71
e0435,basilisk344,Basilisk,10392.71
e0436,basilisk345,Basilisk,10392.71
e0437,basilisk346,Basilisk,10392.71
e0438,basilisk347,Basilisk,10392.71
e0439,basilisk348,Basilisk,10392.71
e0440,basilisk349,Basilisk,10392.71
e0441,basilisk350,Basilisk,10392.71
e0442,basilisk351,Basilisk,10392.71
e0443,basilisk352,Basilisk,10392.71
e0444,basilisk353,Basilisk,10392.71
e0445,basilisk354,Basilisk,10392.71
e0446,basilisk355,Basilisk,10392.71
e0447,basilisk356,Basilisk,10392.71
e0448,basilisk357,Basilisk,10392.71
e0449,basilisk358,Basilisk,10392.71
e0450,basilisk359,Basilisk,10392.71
e0451,basilisk360,Basilisk,10392.71
e0452,basilisk361,Basilisk,10392.71
e0453,basilisk362,Basilisk,10392.71
e0454,basilisk363,Basilisk,10392.71
e0455,basilisk364,Basilisk,10392.71
e0456,basilisk365,Basilisk,10392.71
e0457,basilisk366,Basilisk,10392.71
e0458,basilisk367,Basilisk,10392.71
e0459,basilisk368,Basilisk,10392.71
e0460,basilisk369,Basilisk,10392.71
e0461,basilisk370,Basilisk,10392.71
e0462,basilisk371,Basilisk,10392.71
e0463,basilisk372,Basilisk,10392.71
e0464,basilisk373,Basilisk,10392.71
e0465,basilisk374,Basilisk,10392.71
e0466,basilisk375,Basilisk,10392.71
e0467,basilisk376,Basilisk,10392.71
e0468,basilisk377,Basilisk,10392.71
e0469,basilisk378,Basilisk,10392.71
e0470,basilisk379,Basilisk,10392.71
e0471,basilisk380,Basilisk,10392.71
e0472,basilisk381,Basilisk,10392.71
e0473,basilisk382,Basilisk,10392.71
e0474,basilisk383,Basilisk,10392.71
e0475,basilisk384,Basilisk,10392.71
e0476,basilisk385,Basilisk,10392.71
e0477,basilisk386,Basilisk,10392.71
e0478,basilisk387,Basilisk,10392.71
e0479,basilisk388,Basilisk,10392.71
e0480,basilisk389,Basilisk,10392.71
e0481,basilisk390,Basilisk,10392.71
e0482,basilisk391,Basilisk,10392.71
e0483,basilisk392,Basilisk,10392.71
e0484,basilisk393,Basilisk,10392.71
e0485,basilisk394,Basilisk,10392.71
e0486,basilisk395,Basilisk,10392.71
e0487,basilisk396,Basilisk,10392.71
e0488,basilisk397,Basilisk,10392.71
e0489,basilisk398,Basilisk,10392.71
e0490,basilisk399,Basilisk,10392.71
e0491,basilisk400,Basilisk,10392.71
e0492,basilisk401,Basilisk,10392.71
e0493,basilisk402,Basilisk,10392.71
e0494,basilisk403,Basilisk,10392.71
e0495,basilisk404,Basilisk,10392.71
e0496,basilisk405,Basilisk,10392.71
e0497,basilisk406,Basilisk,10392.71
e0498,basilisk407,Basilisk,10392.71
e0499,basilisk408,Basilisk,10392.71
e0500,basilisk409,Basilisk,10392.71
e0501,basilisk410,Basilisk,10392.71
e0502,basilisk411,Basilisk,10392.71
e0503,basilisk412,Basilisk,10392.71
e0504,basilisk413,Basilisk,10392.71
e0505,basilisk414,Basilisk,10392.71
e0506,basilisk415,Basilisk,10392.71
e0507,basilisk416,Basilisk,10392.71
e0508,basilisk417,Basilisk,10392.71
e0509,basilisk418,Basilisk,10392.71
e0510,basilisk419,Basilisk,10392.71
e0511,basilisk420,Basilisk,10392.71
e0512,basilisk421,Basilisk,10392.71
e0513,basilisk422,Basilisk,10392.71
e0514,basilisk423,Basilisk,10392.71
e0515,basilisk424,Basilisk,10392.71
e0516,basilisk425,Basilisk,10392.71
e0517,basilisk426,Basilisk,10392.71
e0518,basilisk427,Basilisk,10392.71
e0519,basilisk428,Basilisk,10392.71
e0520,basilisk429,Basilisk,10392.71
e0521,basilisk430,Basilisk,10392.71
e0522,basilisk431,Basilisk,10392.71
e0523,basilisk432,Basilisk,10392.71
e0524,basilisk433,Basilisk,10392.71
e0525,basilisk434,Basilisk,10392.71
e0526,basilisk435,Basilisk,10392.71
e0527,basilisk436,Basilisk,10392.71
e0528,basilisk437,Basilisk,10392.71
e0529,basilisk438,Basilisk,10392.71
e0530,basilisk439,Basilisk,10392.71
e0531,basilisk440,Basilisk,10392.71
e0532,basilisk441,Basilisk,10392.71
e0533,basilisk442,Basilisk,10392.71
e0534,basilisk443,Basilisk,10392.71
e0535,basilisk444,Basilisk,10392.71
e0536,basilisk445,Basilisk,10392.71
e0537,basilisk446,Basilisk,10392.71
e0538,basilisk447,Basilisk,10392.71
e0539,basilisk448,Basilisk,10392.71
e0540,basilisk449,Basilisk,10392.71
e0541,basilisk450,Basilisk,10392.71
e0542,basilisk451,Basilisk,10392.71
e0543,basilisk452,Basilisk,10392.71
e0544,basilisk453,Basilisk,10392.71
e0545,basilisk454,Basilisk,10392.71
e0546,basilisk455,Basilisk,10392.71
e0547,basilisk456,Basilisk,10392.71
e0548,basilisk457,Basilisk,10392.71
e0549,basilisk458,Basilisk,10392.71
e0550,basilisk459,Basilisk,10392.71
e0551,basilisk460,Basilisk,10392.71
e0552,basilisk461,Basilisk,10392.71
e0553,basilisk462,Basilisk,10392.71
e0554,basilisk463,Basilisk,10392.71
e0555,basilisk464,Basilisk,10392.71
e0556,basilisk465,Basilisk,10392.71
e0557,basilisk466,Basilisk,10392.71
e0558,basilisk467,Basilisk,10392.71
e0559,basilisk468,Basilisk,10392.71
e0560,basilisk469,Basilisk,10392.71
e0561,basilisk470,Basilisk,10392.71
e0562,basilisk471,Basilisk,10392.71
e0563,basilisk472,Basilisk,10392.71
e0564,basilisk473,Basilisk,10392.71
e0565,basilisk474,Basilisk,10392.71
e0566,basilisk475,Basilisk,10392.71
e0567,basilisk476,Basilisk,10392.71
e0568,basilisk477,Basilisk,10392.71
e0569,basilisk478,Basilisk,10392.71
e0570,basilisk479,Basilisk,10392.71
e0571,basilisk480,Basilisk,10392.71
e0572,basilisk481,Basilisk,10392.71
e0573,basilisk482,Basilisk,10392.71
e0574,basilisk483,Basilisk,10392.71
e0575,basilisk484,Basilisk,10392.71
e0576,basilisk485,Basilisk,10392.71
e0577,basilisk486,Basilisk,10392.71
e0578,basilisk487,Basilisk,10392.71
e0579,basilisk488,Basilisk,10392.71
e0580,basilisk489,Basilisk,10392.71
e0581,basilisk490,Basilisk,10392.71
e0582,basilisk491,Basilisk,10392.71
e0583,basilisk492,Basilisk,10392.71
e0584,basilisk493,Basilisk,10392.71
e0585,basilisk494,Basilisk,10392.71
e0586,basilisk495,Basilisk,10392.71
e0587,basilisk496,Basilisk,10392.71
e0588,basilisk497,Basilisk,10392.71
e0589,basilisk498,Basilisk,10392.71
e0590,basilisk499,Basilisk,10392.71
e0591,basilisk500,Basilisk,10392.71
e0592,basilisk501,Basilisk,10392.71
e0593,basilisk502,Basilisk,10392.71
e0594,basilisk503,Basilisk,10392.71
e0595,basilisk504,Basilisk,10392.71
e0596,basilisk505,Basilisk,10392.71
e0597,basilisk506,Basilisk,10392.71
e0598,basilisk507,Basilisk,10392.71
e0599,basilisk508,Basilisk,10392.71
e0600,basilisk509,Basilisk,10392.71
e0601,basilisk510,Basilisk,10392.71
e0602,basilisk511,Basilisk,10392.71
e0603,basilisk512,Basilisk,10392.71
e0604,basilisk513,Basilisk,10392.71
e0605,basilisk514,Basilisk,10392.71
e0606,basilisk515,Basilisk,10392.71
e0607,basilisk516,Basilisk,10392.71
e0608,basilisk517,Basilisk,10392.71
e0609,basilisk518,Basilisk,10392.71
e0610,basilisk519,Basilisk,10392.71
e0611,basilisk520,Basilisk,10392.71
e0612,basilisk521,Basilisk,10392.71
e0613,basilisk522,Basilisk,10392.71
e0614,basilisk523,Basilisk,10392.71
e0615,basilisk524,Basilisk,10392.71
e0616,basilisk525,Basilisk,10392.71
e0617,basilisk526,Basilisk,10392.71
e0618,basilisk527,Basilisk,10392.71
e0619,basilisk528,Basilisk,10392.71
e0620,basilisk529,Basilisk,10392.71
e0621,basilisk530,Basilisk,10392.71
e0622,basilisk531,Basilisk,10392.71
e0623,basilisk532,Basilisk,10392.71
e0624,basilisk533,Basilisk,10392.71
e0625,basilisk534,Basilisk,10392.71
e0626,basilisk535,Basilisk,10392.71
e0627,basilisk536,Basilisk,10392.71
e0628,basilisk537,Basilisk,10392.71
e0629,basilisk538,Basilisk,10392.71
e0630,basilisk539,Basilisk,10392.71
e0631,basilisk540,Basilisk,10392.71
e0632,basilisk541,Basilisk,10392.71
e0633,basilisk542,Basilisk,10392.71
e0634,basilisk543,Basilisk,10392.71
e0635,basilisk544,Basilisk,10392.71
e0636,basilisk545,Basilisk,10392.71
e0637,basilisk546,Basilisk,10392.71
e0638,basilisk547,Basilisk,10392.71
e0639,basilisk548,Basilisk,10392.71
e0640,basilisk549,Basilisk,10392.71
e0641,basilisk550,Basilisk,10392.71
e0642,basilisk551,Basilisk,10392.71
e0643,basilisk552,Basilisk,10392.71
e0644,basilisk553,Basilisk,10392.71
e0645,basilisk554,Basilisk,10392.71
e0646,basilisk555,Basilisk,10392.71
e0647,basilisk556,Basilisk,10392.71
e0648,basilisk557,Basilisk,10392.71
e0649,basilisk558,Basilisk,10392.71
e0650,basilisk559,Basilisk,10392.71
e0651,basilisk560,Basilisk,10392.71
e0652,basilisk561,Basilisk,10392.71
e0653,basilisk562,Basilisk,10392.71
